                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.99208,                0.88806,                 1.1599,                0.86451,                 0.8449,                0.90827,                0.64476,                0.84521,                0.79221,                 1.0789,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0113,                 0.9184,                 1.1892,                0.90866,                0.84181,                0.91428,                0.64487,                0.83441,                0.74018,                 1.0793,             0.00047038,             0.00047038,             0.00047038
                     65,                0.99356,                0.86049,                 1.1796,                0.88908,                0.87326,                0.91406,                0.63966,                0.84231,                0.73533,                 1.0908,               0.000458,               0.000458,               0.000458
                     66,                 1.0044,                0.87033,                 1.1955,                0.92122,                0.84809,                0.92343,                0.66535,                0.82635,                0.71766,                 1.0767,             0.00044563,             0.00044563,             0.00044563
                     67,                0.95872,                0.82887,                 1.1395,                0.94397,                0.84203,                 0.9352,                0.68169,                0.80338,                0.69817,                 1.0619,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0152,                0.87501,                 1.1845,                0.87547,                0.87759,                0.94094,                0.70063,                0.78132,                0.67058,                 1.0487,             0.00042087,             0.00042087,             0.00042087
                     69,                 0.9327,                0.82566,                 1.1516,                0.89511,                0.85758,                0.92672,                0.69016,                0.79613,                0.67714,                 1.0555,              0.0004085,              0.0004085,              0.0004085
                     70,                0.91578,                0.80019,                 1.1082,                0.93396,                0.83747,                0.92975,                 0.6992,                0.77936,                0.67888,                 1.0521,             0.00039613,             0.00039613,             0.00039613
                     71,                0.90318,                0.77451,                 1.1188,                0.93376,                0.81805,                0.93209,                0.69114,                0.77212,                0.66737,                  1.043,             0.00038375,             0.00038375,             0.00038375
                     72,                0.88544,                0.76432,                 1.1153,                0.90187,                0.88093,                0.93448,                0.70303,                0.76489,                0.65175,                 1.0331,             0.00037138,             0.00037138,             0.00037138
                     73,                0.90017,                0.76245,                 1.1397,                0.89606,                0.86184,                0.92624,                0.68734,                0.78298,                0.66416,                 1.0356,               0.000359,               0.000359,               0.000359
                     74,                0.93306,                0.79531,                 1.1296,                 0.9002,                0.87682,                0.92416,                0.68936,                0.78433,                0.67947,                 1.0336,             0.00034663,             0.00034663,             0.00034663
                     75,                0.90368,                0.76594,                 1.0965,                0.91532,                0.86442,                0.92847,                0.68648,                0.75446,                0.66523,                 1.0208,             0.00033425,             0.00033425,             0.00033425
                     76,                0.88999,                0.75558,                 1.0997,                0.93248,                0.88014,                0.94374,                0.68764,                0.71592,                0.64327,                 1.0037,             0.00032188,             0.00032188,             0.00032188
                     77,                0.88566,                 0.7704,                 1.1022,                0.95472,                0.90347,                0.94875,                0.68801,                0.70064,                0.62846,                 1.0014,              0.0003095,              0.0003095,              0.0003095
                     78,                0.85939,                0.72055,                 1.0755,                0.94343,                0.92526,                0.95196,                0.71984,                0.70131,                0.62463,                 0.9987,             0.00029713,             0.00029713,             0.00029713
                     79,                0.86987,                0.72855,                  1.085,                0.95156,                0.89721,                0.95131,                0.71131,                0.70153,                0.63641,                0.99471,             0.00028475,             0.00028475,             0.00028475
                     80,                0.90296,                0.76991,                 1.1242,                0.95389,                 0.8872,                0.95071,                0.72009,                0.69801,                0.62849,                0.99086,             0.00027237,             0.00027237,             0.00027237
                     81,                0.85354,                0.71862,                 1.0676,                0.94685,                0.90039,                0.95903,                0.72145,                 0.6926,                0.61104,                0.98842,                0.00026,                0.00026,                0.00026
                     82,                0.87919,                0.72416,                 1.0987,                0.97642,                0.87485,                  0.965,                 0.7201,                0.69971,                0.59921,                0.98589,             0.00024762,             0.00024762,             0.00024762
                     83,                0.84668,                0.71552,                 1.0996,                0.95157,                0.89592,                0.96258,                0.72967,                0.68448,                0.58569,                0.97646,             0.00023525,             0.00023525,             0.00023525
                     84,                0.83728,                0.71461,                 1.0796,                0.98394,                0.88925,                0.96771,                0.74666,                0.65368,                0.57078,                0.96261,             0.00022288,             0.00022288,             0.00022288
                     85,                0.83512,                0.70612,                 1.0698,                0.97459,                0.91906,                0.96545,                0.75753,                0.64342,                0.56505,                0.95697,              0.0002105,              0.0002105,              0.0002105
                     86,                0.76707,                0.65917,                 1.0415,                0.95259,                0.94828,                0.96556,                0.76351,                0.64231,                0.56494,                0.95739,             0.00019813,             0.00019813,             0.00019813
                     87,                0.82214,                0.69553,                 1.0823,                0.94739,                0.94556,                0.96772,                0.76255,                0.64149,                0.57101,                 0.9551,             0.00018575,             0.00018575,             0.00018575
